"grantee","table_schema","table_name","privilege_type"
"anon","public","access_tiers","SELECT"
"authenticated","public","access_tiers","SELECT"
"anon","public","age_groups","SELECT"
"authenticated","public","age_groups","SELECT"
"anon","public","categories","SELECT"
"authenticated","public","categories","SELECT"
"anon","public","content_age_groups","SELECT"
"authenticated","public","content_age_groups","DELETE"
"authenticated","public","content_age_groups","INSERT"
"authenticated","public","content_age_groups","SELECT"
"authenticated","public","content_age_groups","UPDATE"
"anon","public","content_categories","SELECT"
"authenticated","public","content_categories","DELETE"
"authenticated","public","content_categories","INSERT"
"authenticated","public","content_categories","SELECT"
"authenticated","public","content_categories","UPDATE"
"authenticated","public","content_feedback","SELECT"
"anon","public","content_items","SELECT"
"authenticated","public","content_items","DELETE"
"authenticated","public","content_items","INSERT"
"authenticated","public","content_items","SELECT"
"authenticated","public","content_items","UPDATE"
"anon","public","users","DELETE"
"anon","public","users","INSERT"
"anon","public","users","REFERENCES"
"anon","public","users","SELECT"
"anon","public","users","TRIGGER"
"anon","public","users","TRUNCATE"
"anon","public","users","UPDATE"
"authenticated","public","users","DELETE"
"authenticated","public","users","INSERT"
"authenticated","public","users","REFERENCES"
"authenticated","public","users","SELECT"
"authenticated","public","users","TRIGGER"
"authenticated","public","users","TRUNCATE"
"authenticated","public","users","UPDATE"
